board_size,agent_a_wins,agent_b_wins,draws,total_games,agent_a_win_rate,agent_b_win_rate,draw_rate,timeouts,errors,model
3,9,5,1,15,0.6,0.3333333333333333,0.06666666666666667,0,0,gpt-4o-mini
9,2,8,0,10,0.2,0.8,0.0,5,0,gpt-4o-mini
