memory_constraint,agent_a_retention_3x3,agent_a_retention_6x6,agent_a_retention_9x9,agent_b_retention_3x3,agent_b_retention_6x6,agent_b_retention_9x9
graph_only,100.0,77.77777777777779,44.44444444444445,100.0,266.66666666666663,366.66666666666663
vector_only,100.0,90.0,80.0,100.0,600.0,700.0
